slug,name,school,position,height_inches,weight,age_at_draft,combine_max_vertical,combine_lane_agility,combine_shuttle,combine_three_qtr_sprint,combine_wingspan_inches,pg_g,pg_mp,pg_fg_pct,pg_ft_pct,pg_to,pg_pts,pg_reb,pg_ast,pg_blk,pg_stl,pg_pf,p36_pts,p36_reb,p36_ast,p36_blk,p36_stl,p36_to,p36_pf,adv1_ts_pct,adv1_3pa_rate,adv1_fta_rate,adv1_proj_nba_3p,adv1_usg_pct,adv1_ast_usg,adv1_ast_to,adv2_per,adv2_ows_40,adv2_dws_40,adv2_obpm,adv2_dbpm
aj-dybantsa,AJ Dybantsa,BYU,SF,81.75,217.0,19.39,,11.06,,3.14,,35.0,34.8,0.51,0.774,3.1,25.5,6.8,3.7,0.3,1.1,1.2,26.4,7.0,3.8,0.3,1.1,3.2,1.2,0.6,0.245,0.49,0.352,33.9,0.65,1.2,28.1,0.158,0.053,9.5,2.2
darryn-peterson,Darryn Peterson,Kansas,SG/PG,77.75,199.0,19.42,,11.17,,3.16,,24.0,29.0,0.438,0.826,1.6,20.2,4.2,1.6,0.6,1.4,1.5,25.1,5.2,2.0,0.7,1.7,2.0,1.9,0.578,0.463,0.371,0.391,33.5,0.37,1.0,25.4,0.115,0.08,9.3,4.8
cameron-boozer,Cameron Boozer,Duke,PF,81.5,253.0,18.92,,11.06,,3.31,,38.0,33.4,0.556,0.789,2.5,22.5,10.2,4.1,0.6,1.4,1.7,24.3,11.0,4.4,0.6,1.5,2.7,1.8,0.653,0.264,0.536,0.358,29.9,0.86,1.64,33.7,0.217,0.11,12.7,6.0
caleb-wilson,Caleb Wilson,North Carolina,SF/PF,82.5,211.0,19.92,,11.17,,3.23,,24.0,31.3,0.578,0.713,2.0,19.8,9.4,2.7,1.4,1.5,1.9,22.8,10.8,3.1,1.6,1.7,2.3,2.2,0.626,0.092,0.616,0.322,28.7,0.63,1.36,31.4,0.16,0.091,8.7,5.3
keaton-wagler,Keaton Wagler,Illinois,SG/PG,78.25,188.0,19.38,,11.05,,3.27,,37.0,33.9,0.445,0.796,1.8,17.9,5.1,4.2,0.4,0.9,2.0,19.0,5.4,4.5,0.4,1.0,1.9,2.1,0.596,0.482,0.476,0.375,25.2,0.92,2.38,23.9,0.175,0.057,8.8,3.5
mikel-brown-jr,Mikel Brown Jr.,Louisville,PG,76.75,190.0,20.21,,10.57,,3.24,,21.0,29.2,0.41,0.844,3.1,18.2,3.3,4.7,0.1,1.2,1.6,22.4,4.1,5.8,0.1,1.5,3.8,2.0,0.577,0.586,0.447,0.393,31.4,0.96,1.52,20.5,0.104,0.065,4.9,1.7
darius-acuff,Darius Acuff Jr.,Arkansas,PG,75.25,186.0,19.59,,10.99,,3.06,,36.0,35.1,0.484,0.809,2.2,23.5,3.1,6.4,0.3,0.8,1.6,24.1,3.2,6.6,0.3,0.8,2.3,1.6,0.604,0.348,0.37,0.379,29.5,1.09,2.97,25.2,0.174,0.022,9.4,0.7
kingston-flemings,Kingston Flemings,Houston,PG,75.75,183.0,19.46,,10.61,,3.07,,37.0,31.7,0.476,0.845,1.8,16.1,4.1,5.2,0.3,1.5,2.0,18.3,4.7,5.9,0.3,1.7,2.0,2.3,0.563,0.227,0.277,0.361,26.0,1.25,2.91,23.6,0.13,0.096,6.6,6.0
morez-johnson-jr,Morez Johnson Jr.,Michigan,PF/C,82.25,251.0,20.4,,10.59,,3.17,,40.0,25.1,0.623,0.782,1.3,13.1,7.3,1.2,1.1,0.7,2.4,18.8,10.5,1.7,1.6,1.0,1.9,3.4,0.677,0.112,0.498,0.337,21.3,0.39,0.91,25.2,0.147,0.096,6.4,5.4
brayden-burries,Brayden Burries,Arizona,SG/PG,77.0,215.0,20.75,,10.59,,3.21,,39.0,29.8,0.491,0.805,1.5,16.1,4.9,2.4,0.2,1.5,2.1,19.4,5.9,2.9,0.2,1.8,1.8,2.5,0.616,0.418,0.395,0.37,23.2,0.61,1.67,21.7,0.127,0.093,6.0,5.7
yaxel-lendeborg,Yaxel Lendeborg,Michigan,PF,82.0,241.0,23.72,,10.82,,3.35,,40.0,30.2,0.515,0.824,1.1,15.1,6.8,3.2,1.2,1.1,1.7,18.0,8.1,3.8,1.4,1.3,1.3,2.0,0.646,0.464,0.425,0.37,20.4,0.88,3.07,25.4,0.166,0.096,9.8,6.9
aday-mara,Aday Mara,Michigan,C,88.25,260.0,21.2,,11.47,,3.61,,40.0,23.4,0.668,0.564,2.0,12.1,6.8,2.4,2.6,0.4,2.2,18.6,10.5,3.7,4.0,0.6,3.1,3.4,0.659,0.033,0.465,0.3,23.1,0.82,1.23,26.2,0.115,0.107,5.8,8.4
nate-ament,Nate Ament,Tennessee,SF,82.75,211.0,19.53,,11.27,,3.26,,35.0,29.7,0.399,0.79,2.3,16.7,6.3,2.3,0.6,1.0,2.0,20.2,7.6,2.8,0.7,1.2,2.8,2.4,0.534,0.322,0.578,0.357,29.0,0.51,1.04,20.4,0.108,0.073,5.1,3.3
hannes-steinbach,Hannes Steinbach,Washington,PF,83.5,248.0,20.14,,10.9,,3.38,,30.0,34.6,0.577,0.759,2.0,18.5,11.8,1.6,1.2,1.1,2.4,19.2,12.3,1.7,1.2,1.1,2.1,2.5,0.636,0.146,0.436,0.337,23.9,0.38,0.8,28.0,0.146,0.069,7.7,2.4
